date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-11-25,8138.99000000,8734.78000000,8090.00000000,8700.01000000,7400.5154999999995,6468.769200000001,5314.8159,,8101.810724259361,7894.22274326,7510.162104030891,6503.786297758073,,71.01750008439906,bull
2017-11-26,8700.04000000,9350.00000000,8604.72000000,9128.02000000,7508.9105,6562.8696,5365.0124,,8329.857229979503,8084.037705835385,7657.240094573537,6597.508929980999,,74.29859215419667,bull
2017-11-27,9128.00000000,9654.28000000,9112.04000000,9650.00000000,7638.208499999999,6663.0696,5420.1126,,8623.222289984058,8324.95498186071,7838.400085975943,6706.526468195963,,77.62536510492122,bull
2017-11-28,9650.00000000,9939.00000000,9570.50000000,9896.80000000,7767.8985,6765.2666,5478.2177,,8906.23955887649,8566.777292343677,8025.527350887221,6820.464808617536,,79.00886205677877,bull
2017-11-29,9896.79000000,11300.03000000,8520.00000000,9687.88000000,7898.293000000001,6863.363,5534.9365,,9079.937434681715,8739.25463198311,8176.650318988382,6922.872494024053,,74.79284969904911,bear
2017-11-30,9687.88000000,10900.00000000,8850.80000000,9838.96000000,8064.892,6963.7136,5592.9261,,9248.609115863555,8908.440073216478,8327.76938089853,7027.018476380336,,75.79857338429174,bull
2017-12-01,9837.00000000,10898.00000000,9380.00000000,10782.99000000,8291.789,7070.7734,5659.6159,,9589.582645671655,9196.832369644711,8550.9712553623,7161.16031650961,,80.92098412585626,bear
2017-12-02,10775.04000000,11190.00000000,10620.00000000,10890.01000000,8545.738000000001,7175.5740000000005,5725.3559,,9878.566502189065,9457.321235853218,8763.611141238454,7294.33351949141,,81.40157275009946,bull
2017-12-03,10902.69000000,11825.00000000,10500.00000000,11165.41000000,8780.708999999999,7281.4824,5794.203200000001,,10164.531723924829,9720.10412264503,8981.956492034959,7432.586250938145,,82.61516230626917,bull
2017-12-04,11165.41000000,11600.00000000,10802.00000000,11579.00000000,9030.9095,7398.8626,5866.6188,,10478.858007497089,10006.088103776565,9218.051356395417,7580.672456261783,,84.2746937973165,bull
2017-12-05,11571.03000000,11853.00000000,11447.68000000,11699.99000000,9253.905999999999,7517.662,5940.518599999999,,10750.220672497735,10266.688395503246,9443.682142177651,7727.790939966719,,84.73379669073643,bull
2017-12-06,11699.99000000,13615.23000000,11665.58000000,13550.05000000,9538.1835,7676.763000000001,6032.1521999999995,,11372.404967498238,10771.820950041209,9816.988311070592,7935.728763539336,,89.69031978220673,bull
2017-12-07,13541.01000000,16649.96000000,13050.00000000,16599.00000000,9983.173999999999,7898.501800000001,6152.2674,,12533.870530276406,11668.310034650254,10433.534828245993,8245.131307698644,,93.45927597449236,bull
2017-12-08,16599.00000000,17204.99000000,14015.00000000,15880.00000000,10389.077,8102.4238000000005,6265.516,,13277.45485688165,12316.262337011754,10928.668025678175,8517.80518956655,,85.51956573508149,bear
2017-12-09,15880.01000000,16269.30000000,12535.00000000,14656.07000000,10719.9805,8275.345,6364.8278,,13583.813777574616,12676.232746702253,11267.522750616523,8737.028932796316,,73.99563325436753,bear
2017-12-10,14664.01000000,15720.12000000,12368.00000000,14899.98000000,11054.3795,8452.8452,6465.4785,,13876.295160335812,13018.34770874806,11597.746136924112,8957.134328053591,,74.72653290071685,bull
2017-12-11,14946.26000000,17470.00000000,14901.08000000,16587.97000000,11477.802500000002,8665.6042,6586.636799999999,,14478.889569150077,13567.520368940666,12051.402851749193,9229.664173480249,,79.10380570321318,bull
2017-12-12,16587.97000000,16976.45000000,15875.00000000,16349.99000000,11885.006,8874.2854,6705.0459,,14894.689664894504,13995.592619872872,12442.183501590176,9483.961524427383,,77.07696931054085,bear
